source,target,value
France,Russia,12
Germany,Russia,26
Bulgaria,Germany,6
Bulgaria,Russia,6
Germany,Italy,26
Austria,Germany,11
Germany,Spain,1
France,Poland,11
France,Germany,31
Germany,Poland,28
Estonia,Germany,5
Estonia,Latvia,12
Latvia,Lithuania,6
Finland,Lithuania,12
Finland,Germany,5
Belgium,Poland,5
Belgium,Netherlands,6
Luxembourg,Netherlands,6
Belgium,Luxembourg,4
Belgium,Denmark,6
Denmark,Norway,12
Denmark,Sweden,5
Germany,Sweden,6
France,Italy,4
Albania,Greece,12
Greece,Ukraine,2
Belarus,Ukraine,6
Belarus,Libya,3
Egypt,Libya,16
Egypt,Iraq,5
Germany,Japan,24
Japan,Russia,16
Germany,Morocco,2
Algeria,Morocco,6
Algeria,Italy,5
China,Japan,27
Japan,Thailand,6
Singapore,Thailand,6
Japan,Singapore,5
Japan,Philippines,11
Japan,Solomon,9
India,Japan,11
China,France,6
China,India,18
India,Pakistan,18
Israel,Pakistan,6
Israel,South,11
Israel,Libya,5
Iran,Libya,6
Germany,Iran,3
France,Japan,4
India,Papua,3
Pakistan,Philippines,6
Laos,Philippines,5
Cambodia,Laos,6
Cambodia,Kenya,6
Ghana,Kenya,6
Ghana,Seychelles,6
Angola,Seychelles,5
Angola,Mozambique,6
Estonia,Lithuania,6
Finland,Romania,6
Albania,Romania,5
Albania,Bulgaria,6
Bulgaria,Poland,6
Poland,Romania,6
Hungary,Romania,6
Hungary,Mongolia,4
China,Mongolia,6
China,North,6
Cuba,North,10
North,United,6
South,United,6
Canada,South,5
Australia,Canada,6
Australia,Vietnam,4
Cambodia,Vietnam,4
Cuba,Vietnam,5
Cuba,United,3
Russia,United,2
Finland,Russia,6
Germany,Norway,6
Greece,Italy,4
Italy,Japan,6
Romania,Russia,6
China,Lebanon,3
India,Singapore,5
